indicator,pearson_r,chi_p,chi_sig,wr_top25,wr_bot25,wr_diff,combined_score,top25_mean,bot25_mean
ex_mfi,-0.00850079083318945,0.7004545113638543,False,0.2606837606837607,0.26495726495726496,-0.004273504273504258,0.09583268725960395,70.24021501909353,27.187308365978012
ex_ad_score,-0.08373381047880404,1.0,False,0.22910216718266255,0.3081967213114754,-0.07909455412881286,0.0883957864466915,65.0,35.0
ex_stochrsi_score,0.0012216453366521273,0.7952903681529258,False,0.30847457627118646,0.275626423690205,0.03284815258098145,0.08805790521990307,68.32203389830508,35.68337129840547
ex_force_positive,-0.06977292779656878,1.0,False,0.2457831325301205,0.3088803088803089,-0.06309717635018838,0.07140961941912134,1.0,0.0
ex_force_score,-0.06977292779656867,1.0,False,0.2457831325301205,0.3088803088803089,-0.06309717635018838,0.07140961941912131,65.0,35.0
ex_cmf_positive,-0.13460543759444799,1.0,False,0.2808145766345123,0.3157142857142857,-0.03489970907977341,0.06830139854215311,0.2497320471596999,0.0
ex_adx_score,-0.023770539078484643,0.8707855610709718,False,0.26732673267326734,0.28688524590163933,-0.019558513228371988,0.06154230398495143,71.56765676567657,38.52459016393443
ex_ao_positive,-0.057178311524716474,1.0,False,0.24932975871313673,0.30178571428571427,-0.05245595557257754,0.05911825791547698,1.0,0.0
ex_adx_weak,0.05518430231104892,1.0,False,0.3148148148148148,0.2627257799671593,0.052089034847655535,0.05822651857143911,1.0,0.0
ex_obv_score,-0.05355245911003815,1.0,False,0.2546728971962617,0.30297029702970296,-0.04829739983344128,0.05470365759976446,65.0,35.0
ex_roc_positive,-0.05296842481236898,1.0,False,0.2536945812807882,0.301707779886148,-0.0480131986053598,0.05430108632799853,1.0,0.0
ex_plus_di,-0.0010356584346011579,0.8429727083717367,False,0.26495726495726496,0.2564102564102564,0.008547008547008572,0.05425649185646621,30.99356809856977,10.946468389167169
ex_kc_breakout_below,0.04828029150837181,1.0,False,0.3170731707317073,0.2678311499272198,0.04924202080448753,0.05387770409610157,1.0,0.0
