symbol,label,composite_v1,peak,dd,final,pattern_score,patterns,rsi_value,rsi_divergence,macd_hist,macd_divergence,ema_alignment,rvol,volume_spike,vwap_distance_pct,price_above_vwap,atr_pct,atr_expanding,bb_squeeze,bb_breakout_above,momentum_1_pct,momentum_3_pct,momentum_6_pct,momentum_12_pct,momentum_acceleration,higher_highs,higher_lows,bos_up,in_range,candle_strength,big_wick_top,power_streak,mtf_alignment,btc_state,btc_momentum_12_pct
BTCUSDT,0,62.089666865012056,0.30255249828894354,-0.8845460227425547,-0.058498921995785144,0.0,[],64.9860249994112,0.0,245.11215387939959,0.0,0.0,2.8,1.0,2.281260562694562,1.0,1.0064358856490268,0.0,0.0,1.0,1.2675828517438472,1.7046435755858698,2.5790468867687584,3.332948695960749,0.844895897955948,0.0,0.0,0.0,1.0,0.5777815437784442,0.0,0.0,0.7619559836536887,1.0,2.205346140478376
BTCUSDT,0,48.84131446037292,0.3626434084032181,-0.24430175612977972,-0.11252555249112993,0.0,[],62.26646575556916,0.0,278.77829711752014,0.0,0.0,0.728,0.0,1.7423113108356119,1.0,0.977972237082294,0.0,0.0,0.0,-0.1644844098411925,0.9903313759932445,2.4684147565502785,3.234534604715559,-0.4732576234863576,0.0,0.0,0.0,1.0,0.4703054362742506,0.0,0.0,0.7455635242121065,1.0,2.205346140478376
BTCUSDT,0,45.330939865404865,0.4777934032216772,-0.1605343901815482,0.33789312196369586,0.0,[],61.12513502702182,0.0,246.06271619440636,0.0,0.0,0.66,0.0,1.579373750385439,1.0,0.9102568449440903,0.0,0.0,0.0,-0.2295918367346939,-0.17867532176169296,1.4124753421309677,2.7025934046080358,-1.7726740680431494,0.0,0.0,0.0,1.0,0.49096822732798506,0.0,0.0,0.5747798743120994,1.0,2.205346140478376
BTCUSDT,0,46.65766615276103,0.8699581896165262,-0.48278914601628314,-0.36260467884894965,0.0,[],63.17149241322311,0.0,195.7997579198538,0.0,0.0,0.319,0.0,1.8632386607351812,1.0,0.8420188040552804,0.0,0.0,0.0,0.4409730917986434,0.11183673469386865,0.0532723894138923,2.633693196083337,0.17033565668965378,0.0,0.0,0.0,1.0,0.5346576294878964,0.0,1.0,0.49877702582391253,1.0,2.205346140478376
BTCUSDT,0,35.447980746512656,0.19944885320086858,-0.7660238992949707,-0.03918063045866596,0.0,[],64.9818691468432,0.0,163.43454711492706,0.0,0.0,0.541,0.0,1.9418989516132277,1.0,0.8163381961710388,0.0,0.0,0.0,0.2580643517238398,0.695838877116326,0.5825303280842729,3.0653243492143645,0.8083644296074559,0.0,0.0,0.0,1.0,0.5267242698298621,1.0,0.0,0.4984005749281321,1.0,2.205346140478376
BTCUSDT,0,45.61569198016442,0.6578593919981676,-0.011114903988803939,0.5066915933170175,0.0,[],59.18454250658628,-1.0,84.50445731263068,0.0,0.0,0.5,0.0,1.1326516371741995,1.0,0.7948963960636647,0.0,0.0,0.0,0.20481290506716393,-0.1542346685897726,0.1831373050370749,1.5981994164439344,-0.49212779055346845,0.0,0.0,0.0,1.0,0.45312376987321573,0.0,0.0,0.4983980341617172,1.0,2.205346140478376
BTCUSDT,0,33.214071773312355,2.2749171331396756,-0.48237944708647273,2.0947938917247066,0.0,[],62.24394457770256,-1.0,65.93903190742833,0.0,0.0,0.69,0.0,1.2183280188732102,1.0,0.7504784659953481,0.0,0.0,0.0,0.015701279533510307,0.594963778920215,0.23020173357144405,0.28359675694928205,0.9575684577691647,1.0,0.0,0.0,1.0,0.45551775312295517,1.0,0.0,0.7370026563886535,1.0,2.205346140478376
BTCUSDT,0,33.60249572131161,2.615485732337274,-0.4542146491638201,0.28647584059684134,0.0,[],59.787772076520774,-1.0,34.06465670623936,0.0,0.0,1.498,0.0,0.6676225827119104,1.0,0.759302775764252,0.0,0.0,0.0,-0.24343479602860368,-0.11115488822785827,-0.15029196750053092,0.4313628642923768,-0.0719742577691923,1.0,0.0,0.0,1.0,0.26734396253172166,1.0,0.0,0.5002017042587701,1.0,2.205346140478376
BTCUSDT,0,52.57691663424548,1.3554254094426634,-1.863363311552847,0.4473959101218026,0.0,[],65.11174690033477,0.0,132.33332051855962,0.0,0.0,1.885,0.0,1.5336766083416942,1.0,0.926656011632462,0.0,0.0,0.0,-0.771387626173022,1.1889744974340533,1.7016905245762524,1.8879442597801073,0.6822829041170357,1.0,0.0,1.0,1.0,0.45892695002420514,0.0,0.0,0.8287873350900081,1.0,2.205346140478376
BTCUSDT,0,58.66714798172487,1.3181496422852435,-0.5117154626113009,1.0798980617614722,0.0,[],63.37961791637015,0.0,98.55106217285646,0.0,0.0,2.475,1.0,1.5157659043675513,1.0,1.1191464621225782,0.0,0.0,1.0,1.5676261262644764,-0.35789746290603164,1.7293992146270816,1.9635820551709684,-2.4526913546307383,1.0,0.0,1.0,1.0,0.49129103115904715,0.0,1.0,0.5162501452302038,1.0,2.205346140478376
BTCUSDT,0,32.20896252367604,1.8313319392444423,-0.0654637432539022,1.443821139229415,0.0,[],61.46887798274256,0.0,93.48508014099616,0.0,0.0,0.737,0.0,0.8923473050035418,1.0,1.1206789228903402,0.0,0.0,0.0,-0.2402274184540248,1.3546013727500366,1.6449578190162,1.4921936120449157,1.0681255321531953,1.0,1.0,1.0,1.0,0.3695774623955586,1.0,0.0,0.48080066782700337,1.0,2.205346140478376
BTCUSDT,0,35.967264534605896,1.0443432489524398,-0.40546356714935144,0.9285071163902067,0.0,[],67.1255315709316,0.0,153.01315563347907,0.0,0.0,1.355,0.0,1.7908112334203112,1.0,1.1118788743735106,0.0,0.0,0.0,-0.046332764186993405,1.0021946625317655,1.4540743505851943,3.1805087206056486,0.5547987524099629,1.0,1.0,1.0,1.0,0.401013998930421,1.0,0.0,0.5357524324067016,1.0,2.205346140478376
BTCUSDT,0,48.919766183464354,0.3248075840117673,-0.9644013095829594,0.06930373299344657,0.0,[],70.77124216856308,0.0,179.26702715218357,0.0,0.0,1.897,0.0,2.22597692317344,1.0,1.0642679052164756,0.0,0.0,1.0,0.6309275983610243,0.7814141827706407,1.8697507211461821,3.6314853900602504,-0.2984838789908315,1.0,1.0,1.0,1.0,0.4757850983224227,0.0,1.0,0.7603242572388416,1.0,2.205346140478376
BTCUSDT,0,48.05925008787241,2.397079655741697,-0.20588209483331046,1.9990722513034656,0.0,[],62.73043862405821,-1.0,122.40065466237343,0.0,0.0,1.146,0.0,1.2133834877207834,1.0,1.0641520322983995,0.0,0.0,0.0,-0.8587812100406487,-0.13395207374523813,1.3079350371270066,2.97440783580408,-1.5777732129746531,1.0,1.0,1.0,1.0,0.5444341793848158,0.0,0.0,0.7362998207516545,1.0,2.205346140478376
BTCUSDT,0,47.28841402228963,1.8253110902517773,-0.2751111943080532,0.12909319009147244,0.0,[],64.32900132413704,-1.0,82.14353970735442,0.0,0.0,0.916,0.0,1.5447744000431933,1.0,1.0475386810284228,0.0,0.0,0.0,-0.27194827662922966,-0.30208433534890855,0.6236179064900834,2.0867601250992065,-1.2305914517391152,1.0,1.0,1.0,1.0,0.5311624838524681,0.0,0.0,0.8240267775913983,1.0,2.205346140478376
BTCUSDT,0,50.83535694073801,0.22921693434344656,-1.0643875851760902,-1.064008167995153,0.0,[],62.31324656882383,-1.0,83.64581582893368,0.0,0.0,1.501,0.0,1.5348242170154636,1.0,1.1451958989707083,0.0,0.0,0.0,-0.9920035519841885,0.15024204573353706,0.2196499020732027,2.0935075288473954,0.08093831274009049,1.0,1.0,1.0,1.0,0.5712061909410588,0.0,0.0,0.8170364263274793,1.0,2.205346140478376
