symbol,long_score,short_score,peak,dd,pump_5,pump_10,dump_5,dump_10
SATSUSDT,23.33518980111121,18.300616365568533,1.933179239335997,-0.6198781256566408,0,0,0,0
SATSUSDT,29.840269587194605,27.044898364669294,0.4868952657204879,-3.2735937014399767,0,0,0,0
TUTUSDT,37.0,10.0,0.0,-4.895104895104892,0,0,0,0
TUTUSDT,31.73436333781158,12.0,3.4766697163769456,-0.640439158279969,0,0,0,0
TUTUSDT,33.0,14.098957987655126,0.08857395925597514,-6.731620903454387,0,0,1,0
TUTUSDT,39.0,12.0,0.09416195856875073,-8.003766478342751,0,0,1,0
TUTUSDT,18.0,25.06563819941159,1.488095238095229,-1.7857142857142818,0,0,0,0
TUTUSDT,15.0,46.41115703767438,5.671641791044769,-0.9950248756218845,1,0,0,0
TUTUSDT,23.193929441136167,5.0,0.0,-4.956268221574344,0,0,0,0
TUTUSDT,13.0,22.144268183178625,0.10111223458039766,-4.550050556117281,0,0,0,0
TUTUSDT,32.0,0.0,1.4447884416924612,-1.2383900928792602,0,0,0,0
TUTUSDT,22.0,16.56116071401869,14.081632653061234,-0.10204081632652645,1,1,0,0
TUTUSDT,22.0,21.09327742684887,2.4118738404452675,-2.2263450834879306,0,0,0,0
TUTUSDT,22.0,0.4661455880967924,4.089219330855013,-1.1152416356877353,0,0,0,0
TUTUSDT,31.842934041309533,0.0,6.1827956989247275,-0.26881720430107986,1,0,0,0
TUTUSDT,23.496890700167143,5.0,13.860544217687085,-2.2108843537414953,1,1,0,0
TUTUSDT,26.16004265583464,5.0,3.2411067193675938,-2.608695652173916,0,0,0,0
BREVUSDT,57.88716187324236,5.0,11.864406779661003,-1.2106537530266355,1,1,0,0
BREVUSDT,52.0,13.66125408496734,3.3482142857142883,-8.370535714285706,0,0,1,0
BREVUSDT,16.0,25.816087320306032,1.64705882352941,-6.941176470588238,0,0,1,0
BREVUSDT,30.0,17.16147712586246,2.528445006321115,-2.528445006321115,0,0,0,0
BREVUSDT,16.0,6.217296709273864,0.9975062344139765,-3.6159600997506236,0,0,0,0
BREVUSDT,27.3279450900978,51.249865374259585,0.5128205128205097,-6.02564102564102,0,0,1,0
BREVUSDT,24.357773877647375,28.1757317903336,0.268817204301083,-4.301075268817197,0,0,0,0
BREVUSDT,28.52915587778353,23.363789380738627,2.773925104022194,-2.63522884882108,0,0,0,0
BREVUSDT,44.68808441040444,37.0,3.1506849315068632,-0.4109589041095818,0,0,0,0
BREVUSDT,45.0,19.56667515491049,1.0914051841746182,-1.5006821282401142,0,0,0,0
