symbol,ts,label,composite,sub_scores
BNBUSDT,2026-04-22 20:00:00+00:00,0,52.522097920791126,"{'technical': 54.32902792777957, 'momentum': 0, 'volume': 40.849999999999994, 'vwap': 0.6362503622482575, 'atr_bb': 22.26609368531966, 'structure': 50.0, 'candle': 48.104896022325875, 'mtf': 49.14860781552315, 'pattern': 50.0}"
BREVUSDT,2026-04-22 20:00:00+00:00,0,48.35631260344052,"{'technical': 44.05183210612723, 'momentum': 0, 'volume': 66.5, 'vwap': 0, 'atr_bb': 46.78021666928825, 'structure': 50.0, 'candle': 34.159318941927744, 'mtf': 21.72682314101139, 'pattern': 50.0}"
XRPUSDT,2026-04-22 20:00:00+00:00,0,39.619046106922355,"{'technical': 48.78808498816909, 'momentum': 0, 'volume': 36.65, 'vwap': 0, 'atr_bb': 27.13529738000448, 'structure': 50.0, 'candle': 41.75448638964059, 'mtf': 24.462993058874627, 'pattern': 50.0}"
DOGEUSDT,2026-04-22 20:00:00+00:00,0,46.48380398189874,"{'technical': 49.11420798529626, 'momentum': 0, 'volume': 31.1, 'vwap': 0.09755320990001275, 'atr_bb': 31.808109502261996, 'structure': 50.0, 'candle': 39.41504824344359, 'mtf': 25.144801570035856, 'pattern': 50.0}"
RECALLUSDT,2026-04-22 20:00:00+00:00,0,36.610901449550525,"{'technical': 45.10807773994654, 'momentum': 0, 'volume': 57.45, 'vwap': 0, 'atr_bb': 69.81515719693496, 'structure': 50.0, 'candle': 30.96868869096376, 'mtf': 12.181235733860277, 'pattern': 50.0}"
WCTUSDT,2026-04-22 20:00:00+00:00,0,50.31982306439503,"{'technical': 47.97891484321593, 'momentum': 0, 'volume': 54.800000000000004, 'vwap': 0.058750835729053236, 'atr_bb': 45.19274392857757, 'structure': 60.0, 'candle': 30.808080808080735, 'mtf': 23.10192469058109, 'pattern': 50.0}"
AVAXUSDT,2026-04-22 20:00:00+00:00,0,47.24215263189479,"{'technical': 47.128002831490285, 'momentum': 0, 'volume': 30.4, 'vwap': 0.09405493828841612, 'atr_bb': 36.04010429178321, 'structure': 60.0, 'candle': 41.98412698412695, 'mtf': 23.536905710324746, 'pattern': 50.0}"
TUTUSDT,2026-04-22 20:00:00+00:00,0,41.99522151754033,"{'technical': 42.799073647070074, 'momentum': 0, 'volume': 52.949999999999996, 'vwap': 0, 'atr_bb': 67.95569980246327, 'structure': 50.0, 'candle': 27.4280472422886, 'mtf': 22.796468968127172, 'pattern': 50.0}"
LINKUSDT,2026-04-22 20:00:00+00:00,0,38.468643434315176,"{'technical': 46.40684279560919, 'momentum': 0, 'volume': 32.300000000000004, 'vwap': 0, 'atr_bb': 30.813841713851936, 'structure': 50.0, 'candle': 42.06349206349191, 'mtf': 24.64345398423214, 'pattern': 50.0}"
ACEUSDT,2026-04-22 20:00:00+00:00,0,36.9541607500632,"{'technical': 42.959574382777866, 'momentum': 0, 'volume': 14.099999999999998, 'vwap': 0, 'atr_bb': 87.57787679412021, 'structure': 50.0, 'candle': 52.777777777777814, 'mtf': 15.175990104070856, 'pattern': 50.0}"
BREVUSDT,2026-04-23 04:00:00+00:00,1,33.746451018460505,"{'technical': 41.85931925569412, 'momentum': 0, 'volume': 58.25, 'vwap': 0, 'atr_bb': 47.072270027167455, 'structure': 50.0, 'candle': 38.741258741258676, 'mtf': 17.567323543231183, 'pattern': 50.0}"
ETHUSDT,2026-04-23 04:00:00+00:00,0,37.695644023807766,"{'technical': 49.71538534650662, 'momentum': 0, 'volume': 40.699999999999996, 'vwap': 0.08525293169204182, 'atr_bb': 31.495203998596214, 'structure': 50.0, 'candle': 34.991961245981294, 'mtf': 26.286853594706727, 'pattern': 50.0}"
SOLUSDT,2026-04-23 04:00:00+00:00,0,34.22062132198682,"{'technical': 47.51060610927977, 'momentum': 0, 'volume': 38.6, 'vwap': 0, 'atr_bb': 31.123167389929968, 'structure': 50.0, 'candle': 35.45442453575016, 'mtf': 25.034543354409116, 'pattern': 50.0}"
WCTUSDT,2026-04-23 04:00:00+00:00,0,47.79528320263061,"{'technical': 43.298212374341475, 'momentum': 0, 'volume': 50.949999999999996, 'vwap': 0, 'atr_bb': 46.13951130069873, 'structure': 50.0, 'candle': 43.12422470317207, 'mtf': 23.87449961609279, 'pattern': 50.0}"
TUTUSDT,2026-04-23 04:00:00+00:00,0,33.79410967055504,"{'technical': 40.88614167798385, 'momentum': 0, 'volume': 53.2, 'vwap': 0, 'atr_bb': 67.74388386128065, 'structure': 50.0, 'candle': 38.429286818579136, 'mtf': 22.438473054431608, 'pattern': 50.0}"
SATSUSDT,2026-04-23 04:00:00+00:00,1,37.28928746025563,"{'technical': 41.06165298074695, 'momentum': 0, 'volume': 28.549999999999997, 'vwap': 0, 'atr_bb': 100, 'structure': 50.0, 'candle': 41.87479187479188, 'mtf': 21.98910778982226, 'pattern': 50.0}"
DOTUSDT,2026-04-23 04:00:00+00:00,0,31.271154007675435,"{'technical': 42.376570666123456, 'momentum': 0, 'volume': 38.15, 'vwap': 0, 'atr_bb': 37.470600457199176, 'structure': 60.0, 'candle': 31.663860830527447, 'mtf': 24.31473332371472, 'pattern': 50.0}"
ADAUSDT,2026-04-23 04:00:00+00:00,0,33.75176369637869,"{'technical': 44.714292993522086, 'momentum': 0, 'volume': 34.35, 'vwap': 0, 'atr_bb': 33.73672347413248, 'structure': 60.0, 'candle': 38.68341803124429, 'mtf': 24.045802557424388, 'pattern': 50.0}"
DOGEUSDT,2026-04-23 04:00:00+00:00,0,34.0419527386306,"{'technical': 50.63651374348695, 'momentum': 0, 'volume': 47.55, 'vwap': 0.15317475199982167, 'atr_bb': 30.486372870079585, 'structure': 50.0, 'candle': 31.45033739186604, 'mtf': 48.43587524802727, 'pattern': 50.0}"
XRPUSDT,2026-04-23 04:00:00+00:00,0,36.536617927044695,"{'technical': 46.084964378083924, 'momentum': 0, 'volume': 30.25, 'vwap': 0, 'atr_bb': 26.46861784197222, 'structure': 60.0, 'candle': 46.721552279774194, 'mtf': 24.34805495802379, 'pattern': 50.0}"
HYPERUSDT,2026-04-23 04:00:00+00:00,0,38.05352202299945,"{'technical': 45.90337494591741, 'momentum': 0, 'volume': 55.900000000000006, 'vwap': 0, 'atr_bb': 51.46803300552615, 'structure': 60.0, 'candle': 35.035103785103665, 'mtf': 53.73375879970194, 'pattern': 50.0}"
ACEUSDT,2026-04-23 04:00:00+00:00,1,28.142870521317356,"{'technical': 42.194299468150916, 'momentum': 0, 'volume': 5.8999999999999995, 'vwap': 0, 'atr_bb': 82.11520393398104, 'structure': 50.0, 'candle': 44.44444444444444, 'mtf': 15.710216871621476, 'pattern': 50.0}"
LINKUSDT,2026-04-23 04:00:00+00:00,0,39.921965403017744,"{'technical': 44.29120321310334, 'momentum': 0, 'volume': 28.9, 'vwap': 0, 'atr_bb': 30.732770042875188, 'structure': 50.0, 'candle': 51.37254901960794, 'mtf': 48.48492845743572, 'pattern': 50.0}"
TLMUSDT,2026-04-23 04:00:00+00:00,1,41.18845596241047,"{'technical': 43.75034567372555, 'momentum': 0, 'volume': 11.200000000000001, 'vwap': 0, 'atr_bb': 53.79506633681765, 'structure': 50.0, 'candle': 57.904411764705884, 'mtf': 25.438776105610884, 'pattern': 50.0}"
AVAXUSDT,2026-04-23 04:00:00+00:00,0,34.05872320515254,"{'technical': 45.12118903122773, 'momentum': 0, 'volume': 46.25, 'vwap': 0, 'atr_bb': 34.6295276456693, 'structure': 60.0, 'candle': 37.24867724867716, 'mtf': 22.962081736359313, 'pattern': 50.0}"
BTCUSDT,2026-04-23 04:00:00+00:00,0,57.95934239878013,"{'technical': 59.105304536471095, 'momentum': 0, 'volume': 30.85, 'vwap': 1.7046454987552473, 'atr_bb': 25.190393664292653, 'structure': 60.0, 'candle': 42.85337561102032, 'mtf': 50.16361562657076, 'pattern': 50.0}"
OPNUSDT,2026-04-23 04:00:00+00:00,1,51.64800908789906,"{'technical': 49.07521549621553, 'momentum': 0, 'volume': 46.25, 'vwap': 1.892411858010359, 'atr_bb': 94.6220246168836, 'structure': 50.0, 'candle': 28.086375849533773, 'mtf': 53.91191685492538, 'pattern': 50.0}"
RECALLUSDT,2026-04-23 04:00:00+00:00,0,45.73759188139338,"{'technical': 42.16097162389229, 'momentum': 0, 'volume': 51.449999999999996, 'vwap': 0, 'atr_bb': 68.44729185266105, 'structure': 50.0, 'candle': 34.177089847821485, 'mtf': 13.500734507885918, 'pattern': 50.0}"
BNBUSDT,2026-04-23 04:00:00+00:00,0,30.669910431495218,"{'technical': 52.49682005720638, 'momentum': 0, 'volume': 34.949999999999996, 'vwap': 0.11640978893739391, 'atr_bb': 21.30017969608318, 'structure': 50.0, 'candle': 31.912683339817104, 'mtf': 49.03622578596217, 'pattern': 50.0}"
DOTUSDT,2026-04-23 12:00:00+00:00,0,47.93981231710962,"{'technical': 40.94377274991071, 'momentum': 0, 'volume': 74.95, 'vwap': 0, 'atr_bb': 36.179941800348, 'structure': 60.0, 'candle': 30.439814814814774, 'mtf': 22.74439655103372, 'pattern': 50.0}"
HYPERUSDT,2026-04-23 12:00:00+00:00,0,45.69687298016871,"{'technical': 47.144290767566815, 'momentum': 0.7391763463569084, 'volume': 46.300000000000004, 'vwap': 0, 'atr_bb': 49.283322097276894, 'structure': 60.0, 'candle': 39.68253968253946, 'mtf': 47.09037661982945, 'pattern': 50.0}"
TLMUSDT,2026-04-23 12:00:00+00:00,0,53.256908558807446,"{'technical': 51.525088501405726, 'momentum': 3.6887608069164286, 'volume': 43.1, 'vwap': 0, 'atr_bb': 50.93811254360341, 'structure': 50.0, 'candle': 75.00208229218734, 'mtf': 48.93624108288441, 'pattern': 50.0}"
OPNUSDT,2026-04-23 12:00:00+00:00,1,45.67186000995676,"{'technical': 50.44916240210864, 'momentum': 0, 'volume': 59.9, 'vwap': 2.168267804842402, 'atr_bb': 88.73701609706137, 'structure': 50.0, 'candle': 41.04362909777569, 'mtf': 74.71891555928065, 'pattern': 50.0}"
SOLUSDT,2026-04-23 12:00:00+00:00,0,46.44602790018272,"{'technical': 50.400646613567645, 'momentum': 0.6410256410256377, 'volume': 71.89999999999999, 'vwap': 0, 'atr_bb': 29.65258459971594, 'structure': 50.0, 'candle': 47.411388661388735, 'mtf': 24.053151421629586, 'pattern': 50.0}"
TUTUSDT,2026-04-23 12:00:00+00:00,0,54.61682900842814,"{'technical': 49.61137228130899, 'momentum': 3.615604186489059, 'volume': 48.85, 'vwap': 0.2255768611993118, 'atr_bb': 65.25712562622846, 'structure': 50.0, 'candle': 54.508128818473686, 'mtf': 70.88485881207403, 'pattern': 50.0}"
XRPUSDT,2026-04-23 12:00:00+00:00,0,46.8971513880058,"{'technical': 50.754691262656166, 'momentum': 1.080355881937586, 'volume': 53.300000000000004, 'vwap': 0, 'atr_bb': 26.046141649643953, 'structure': 60.0, 'candle': 56.467223959342824, 'mtf': 47.44433175462932, 'pattern': 50.0}"
DOGEUSDT,2026-04-23 12:00:00+00:00,0,53.57294147213054,"{'technical': 58.009873746888566, 'momentum': 1.8406191173394661, 'volume': 91.25, 'vwap': 1.389790785321288, 'atr_bb': 30.413688624257492, 'structure': 50.0, 'candle': 52.186316321760216, 'mtf': 49.354616994980695, 'pattern': 50.0}"
RECALLUSDT,2026-04-23 12:00:00+00:00,0,46.85019569601064,"{'technical': 44.98306784402028, 'momentum': 0.9425878320479925, 'volume': 50.1, 'vwap': 0, 'atr_bb': 69.25301929916627, 'structure': 50.0, 'candle': 46.16967871485933, 'mtf': 13.981425562723956, 'pattern': 50.0}"
AVAXUSDT,2026-04-23 12:00:00+00:00,0,43.134923216986046,"{'technical': 51.10647370723818, 'momentum': 1.2944983818770335, 'volume': 40.400000000000006, 'vwap': 0.29482546238873003, 'atr_bb': 34.10607289412101, 'structure': 60.0, 'candle': 43.54377104377092, 'mtf': 44.20873501139737, 'pattern': 50.0}"
ACEUSDT,2026-04-23 12:00:00+00:00,0,51.83467263896144,"{'technical': 48.123443550560154, 'momentum': 3.5087719298245523, 'volume': 51.2, 'vwap': 0, 'atr_bb': 74.79717175963859, 'structure': 50.0, 'candle': 66.66666666666666, 'mtf': 17.667528549881496, 'pattern': 50.0}"
BNBUSDT,2026-04-23 12:00:00+00:00,0,47.02047273284179,"{'technical': 56.258112119084004, 'momentum': 0.6497797356828187, 'volume': 50.849999999999994, 'vwap': 0.5895051329961329, 'atr_bb': 21.124733069333885, 'structure': 50.0, 'candle': 47.97633372421451, 'mtf': 48.39226812875054, 'pattern': 50.0}"
LINKUSDT,2026-04-23 12:00:00+00:00,0,43.016591497595066,"{'technical': 50.63194097473248, 'momentum': 1.7429193899782152, 'volume': 42.8, 'vwap': 0, 'atr_bb': 29.890708171338837, 'structure': 50.0, 'candle': 61.12554112554118, 'mtf': 47.16698078162836, 'pattern': 50.0}"
