symbol,idx,price,fwd_4h,fwd_12h,mtf_mom_5m,mtf_mom_15m,mtf_mom_1h,mtf_mom_4h,mtf_alignment,mtf_mom_divergence,mtf_mom_avg,mtf_vol_rvol_5m,mtf_vol_rvol_15m,mtf_vol_rvol_1h,mtf_vol_rvol_4h,mtf_vol_surge,mtf_atr_5m,mtf_atr_15m,mtf_atr_1h,mtf_atr_4h,mtf_vol_compression,mtf_bb_width_5m,mtf_bb_width_15m,mtf_bb_width_1h,mtf_bb_width_4h,mtf_bb_breakout_5m,mtf_bb_breakout_15m,mtf_bb_breakout_1h,mtf_bb_breakout_4h,mtf_bb_breakout_aligned,mtf_rsi_5m,mtf_rsi_15m,mtf_rsi_1h,mtf_rsi_4h,mtf_rsi_all_oversold,mtf_rsi_all_overbought,mtf_composite_score
EPICUSDT,89,0.324,-0.6172839506172845,-5.55555555555556,0.4973474801061013,0.2643754130865905,-3.264094955489617,-2.4096385542168695,0,2.906986034322971,-1.2280026541284488,0.5024451160744117,0.1378734165556224,1.2729195768941446,0.3642553037297816,0,0.6083540318057344,1.1788854516494958,5.789138204514185,15.770178501542489,0.038576229923220656,1.5126919783176642,1.9318306340870017,9.576366312823328,45.539851648880735,0,0,0,0,0,57.48578380859678,54.80540936809077,41.4821011156922,38.91641428934817,0,0,55.0
EPICUSDT,90,0.322,-1.8633540372670823,1.2422360248447217,0.4973474801061013,0.2643754130865905,-1.2383900928792582,-2.719033232628401,0,3.2163807127345025,-0.7989251080787418,0.5024451160744117,0.1378734165556224,0.7668925759239509,0.30295064962469764,0,0.6083540318057344,1.1788854516494958,4.965865014811968,15.000885503215834,0.040554541375262,1.5126919783176642,1.9318306340870017,11.038731906409437,44.8006666054296,0,0,0,0,0,57.48578380859678,54.80540936809077,39.22336559060876,38.70334169802497,0,0,55.0
EPICUSDT,91,0.316,1.8987341772151916,5.063291139240511,0.4973474801061013,0.2643754130865905,-0.6250000000000006,-2.1671826625387016,0,2.6645301426448027,-0.5076149423365026,0.5024451160744117,0.1378734165556224,0.16451876613652192,0.2964451870292171,0,0.6083540318057344,1.1788854516494958,4.202585314744237,14.397311644769772,0.042254696349976986,1.5126919783176642,1.9318306340870017,9.89081953212529,46.095117989046166,0,0,0,0,0,57.48578380859678,54.80540936809077,39.24843762865482,38.03062201276268,0,0,55.0
EPICUSDT,92,0.322,-4.968944099378887,16.770186335403725,0.4973474801061013,0.2643754130865905,4.1009463722397514,-0.6172839506172845,0,1.1146314307233858,1.0613463287037899,0.5024451160744117,0.1378734165556224,2.6484912144339283,1.2508969197131434,0,0.6083540318057344,1.1788854516494958,3.9788702669233804,13.962767576910876,0.04356973131972213,1.5126919783176642,1.9318306340870017,8.852202759948687,47.0059821669207,0,0,0,0,0,57.48578380859678,54.80540936809077,49.21739081563709,39.169280039670355,0,0,55.0
EPICUSDT,93,0.306,6.535947712418307,16.013071895424833,0.4973474801061013,0.2643754130865905,-10.294117647058831,-4.968944099378887,0,5.466291579484988,-3.625334713311257,0.5024451160744117,0.1378734165556224,1.5176979562103343,0.9977428343041496,0,0.6083540318057344,1.1788854516494958,4.7378798382237886,14.156896609932057,0.04297227341329394,1.5126919783176642,1.9318306340870017,9.576254452652117,48.856901625003886,0,0,0,0,0,57.48578380859678,54.80540936809077,37.976516616250656,37.20599862068103,0,0,55.0
EPICUSDT,94,0.326,1.8404907975460139,7.975460122699377,0.4973474801061013,0.2643754130865905,-0.9615384615384625,3.1645569620253196,0,-2.667209481919218,0.7411853484198873,0.5024451160744117,0.1378734165556224,0.7802558023406841,1.0136015625095793,0,0.6083540318057344,1.1788854516494958,4.213864903592492,13.040345029428074,0.04665168217810689,1.5126919783176642,1.9318306340870017,10.523838742369609,46.69040458232799,0,0,0,0,0,57.48578380859678,54.80540936809077,42.09053599067639,41.17510573148946,0,0,55.0
EPICUSDT,95,0.332,13.253012048192767,10.240963855421677,0.4973474801061013,0.2643754130865905,-0.6369426751592362,3.105590062111804,0,-2.608242582005703,0.8075925700363149,0.5024451160744117,0.1378734165556224,0.439565274997463,0.7278740299995894,0,0.6083540318057344,1.1788854516494958,4.1841647521544765,12.363378277692808,0.04920613267195626,1.5126919783176642,1.9318306340870017,10.67348697242767,46.83031558467283,0,0,0,0,0,57.48578380859678,54.80540936809077,44.88975353001787,42.35233837058168,0,0,55.0
EPICUSDT,96,0.376,-5.585106382978728,-7.1808510638297935,0.4973474801061013,0.2643754130865905,7.523510971786839,22.875816993464053,1,-22.378469513357953,7.790262714610896,0.5024451160744117,0.1378734165556224,1.7710569602279962,1.9444449980087486,0,0.6083540318057344,1.1788854516494958,3.954614847048105,11.143681733761811,0.05459183475804188,1.5126919783176642,1.9318306340870017,13.51889230372424,47.09709359091507,0,0,1,0,0,57.48578380859678,54.80540936809077,59.37590227624981,50.219944738014334,0,0,75.0
EPICUSDT,97,0.355,-0.845070422535212,-5.070422535211256,0.4973474801061013,0.2643754130865905,-0.8356545961002793,8.895705521472383,0,-8.398358041366281,2.2054434546411987,0.5024451160744117,0.1378734165556224,0.9722379244086655,1.4411038507196183,0,0.6083540318057344,1.1788854516494958,4.563676640158386,11.664047548214834,0.05215634018045839,1.5126919783176642,1.9318306340870017,24.422764653394573,46.52283696175837,0,0,0,0,0,57.48578380859678,54.80540936809077,58.75198421568787,46.92805851539321,0,0,55.0
EPICUSDT,98,0.352,3.9772727272727315,-5.113636363636353,0.4973474801061013,0.2643754130865905,-0.28409090909090934,6.0240963855421565,0,-5.5267489054360555,1.6254320924109849,0.5024451160744117,0.1378734165556224,0.41793493702565987,0.5872794900972814,0,0.6083540318057344,1.1788854516494958,4.526875968774041,11.288469852883818,0.05389162922292084,1.5126919783176642,1.9318306340870017,26.115065801651127,45.7255898726635,0,0,0,0,0,57.48578380859678,54.80540936809077,54.9733541042481,46.4595363940822,0,0,55.0
