feature,pearson,top_wr,bot_wr,wr_diff,score
ex_ex_force_positive,0.02234248788944073,0.1956521739130435,0.17820773930753564,0.017444434605507847,0.019403655919081
ex_ex_uo_score,0.04241532084904815,0.1892161757363954,0.1852417302798982,0.003974445456497194,0.019350795613517578
ex_ex_mfi_score,-0.03722028807492152,0.17660550458715596,0.18360471645143178,-0.006999211864275823,0.0190876423485341
ex_ex_aroon_score,-0.021427284024854654,0.21006944444444445,0.22617124394184168,-0.016101799497397234,0.018231993308380202
ind_momentum_3_pct,0.036030780127778245,0.23333333333333334,0.22745098039215686,0.0058823529411764774,0.017941723815817184
ex_ex_stoch_crossover,-0.01985159358478572,0.17908902691511386,0.1945996275605214,-0.015510600645407546,0.017246997821158815
ex_ex_ao_score,0.010787382772491253,0.20930232558139536,0.18888888888888888,0.020413436692506476,0.016563015124500386
struct_higher_highs,0.03216437365952902,0.18725490196078431,0.18160377358490565,0.005651128375878667,0.01625642648933881
ex_ex_cci_oversold,0.031081041653475854,0.18725490196078431,0.18097014925373134,0.006284752707052976,0.016203268285622126
ex_ex_ao_positive,0.018054788193090154,0.19441674975074777,0.18032786885245902,0.014088880898288747,0.01567524381620931
ind_bb_breakout_above,0.033487586874823894,0.18725490196078431,0.18364116094986807,0.0036137410109162438,0.015563279356479304
ex_ex_stoch_score,0.005369607398056585,0.17753623188405798,0.1987179487179487,-0.021181716833890724,0.014856873059557067
ex_ex_cci,0.02891276042617303,0.21568627450980393,0.21176470588235294,0.003921568627450994,0.013918045346939809
tech_ema_score,-0.012855513569112943,0.19066666666666668,0.20520673813169985,-0.014540071465033166,0.013866248306665076
candle_power_streak,0.029347041193936104,0.18725490196078431,0.18418201516793067,0.0030728867928536407,0.013582548553286626
ex_ex_roc_score,0.015437484357583624,0.24313725490196078,0.23137254901960785,0.011764705882352927,0.013233817272445207
ex_ex_vortex_minus,-0.018246469540257763,0.2019607843137255,0.21176470588235294,-0.009803921568627444,0.013180940757279571
ind_momentum_score,0.02343820264159479,0.22745098039215686,0.22156862745098038,0.0058823529411764774,0.012904692821343803
ex_ex_eom_score,0.014458258098845852,0.1934782608695652,0.18214285714285713,0.011335403726708076,0.012584545475563185
ex_ex_eom_positive,0.014458258098845525,0.1934782608695652,0.18214285714285713,0.011335403726708076,0.012584545475563057
ex_ex_uo_oversold,0.026414213334952898,0.18725490196078431,0.1852417302798982,0.0020131716808861055,0.011773588342512823
ex_ex_williams_r,0.001186654908900169,0.18627450980392157,0.20392156862745098,-0.017647058823529405,0.011062897257677711
ex_ex_stoch_k,0.001186654908900169,0.18627450980392157,0.20392156862745098,-0.017647058823529405,0.011062897257677711
ex_ex_stochrsi_score,-0.023693138773987744,0.19879518072289157,0.20021762785636563,-0.0014224471334740585,0.010330723789679534
candle_last_upper_wick,-0.004859348887645034,0.18199608610567514,0.16862745098039217,0.013368635125282968,0.009964920630227794
ex_ex_kc_score,0.0037557933830008805,0.1943866943866944,0.18089053803339517,0.013496156353299232,0.009600011165179891
ex_ex_tsi_positive,0.010663407685812656,0.1915983606557377,0.18327067669172933,0.008327683964008376,0.00926197345273009
ind_bb_squeeze,-0.010462692337975732,0.1827956989247312,0.19099099099099098,-0.008195292066259796,0.00910225217494617
