signal_id,ts_entry,symbol,direction,entry_price,tp_price,sl_price,initial_sl_price,tp_pct,sl_pct,max_hold_hours,trailing_pct,use_trailing,use_scaled,tp1_price,tp1_hit,score_long,score_short,confidence,n_long_signals,n_short_signals,f_momentum_3_pct,f_momentum_6_pct,f_rvol,f_atr_pct,f_a_ichi_above_cloud,f_a_ichi_below_cloud,f_a_fib_dist_0.618,f_a_fib_distance_pct,f_volume_spike,f_m_5m_volume_spike,btc_state,btc_momentum_12_pct,market_regime,status,current_price,current_pct,highest_pct,lowest_pct,current_trailing_sl,ts_last_check,ts_exit,exit_price,exit_pct,exit_reason,num_checks,size_remaining,partial_pnl,m_obi_10_at_entry,m_cvd_at_entry,m_5m_rvol_at_entry,m_spread_pct_at_entry,position_size,entry_mode
EGL1USDT_LONG_1785099250,2026-07-26T20:54:10.410895+00:00,EGL1USDT,LONG,0.012,0.015,0.011532,0.011532,25.0,3.9,12.0,6.0,1,0,0.01236,0,42.5,0.0,85.0,1,0,-0.6622516556291408,-0.166389351081524,1.170160488251521,1.499999999999999,0.0,0.0,99,0,0,0.0,NEUTRAL,0.0,PRE_PUMP_30_PUMP_RUNNER,OPEN,0.012,0.0,0.0,0.0,0.011532,2026-07-26T20:54:10.410921+00:00,,,,,0,1.0,0.0,0.0,0.0,0,0,0.3,PRE_PUMP_30_PUMP_RUNNER
RAVEUSDT_LONG_1785099250,2026-07-26T20:54:10.420304+00:00,RAVEUSDT,LONG,0.3776,0.472,0.3628736,0.3628736,25.0,3.9,12.0,6.0,1,0,0.388928,0,42.5,0.0,85.0,1,0,-0.553068211746113,-0.7099658164606982,0.9684692789637216,1.428193099273606,0.0,0.0,99,0,0,0.0,NEUTRAL,0.0,PRE_PUMP_30_PUMP_RUNNER,OPEN,0.3776,0.0,0.0,0.0,0.3628736,2026-07-26T20:54:10.420322+00:00,,,,,0,1.0,0.0,0.0,0.0,0,0,0.3,PRE_PUMP_30_PUMP_RUNNER
ARGUSDT_LONG_1785099250,2026-07-26T20:54:10.429643+00:00,ARGUSDT,LONG,0.10832,0.1354,0.10409552,0.10409552,25.0,3.9,12.0,6.0,1,0,0.1115696,0,33.559841211226,0.0,67.119682422452,1,0,0.8566108007448829,0.7440476190476145,0.1929387911054347,4.988526060350286,0.0,0.0,99,0,0,0.0,NEUTRAL,0.0,PRE_PUMP_30_PUMP_RUNNER,OPEN,0.10832,0.0,0.0,0.0,0.10409552,2026-07-26T20:54:10.429661+00:00,,,,,0,1.0,0.0,0.0,0.0,0,0,0.3,PRE_PUMP_30_PUMP_RUNNER
FARTCOINUSDT_LONG_1785099250,2026-07-26T20:54:10.439299+00:00,FARTCOINUSDT,LONG,0.12888,0.1611,0.12385368,0.12385368,25.0,3.9,12.0,6.0,1,0,0.1327464,0,37.5,0.0,75.0,1,0,-1.6408456078760687,0.6403248477276178,0.8894094163734121,1.0253170169371266,0.0,0.0,99,0,0,0.0,NEUTRAL,0.0,PRE_PUMP_30_PUMP_RUNNER,OPEN,0.12888,0.0,0.0,0.0,0.12385368,2026-07-26T20:54:10.439318+00:00,,,,,0,1.0,0.0,0.0,0.0,0,0,0.3,PRE_PUMP_30_PUMP_RUNNER
KAITOUSDT_LONG_1785099250,2026-07-26T20:54:10.448744+00:00,KAITOUSDT,LONG,1.167,1.45875,1.121487,1.121487,25.0,3.9,12.0,6.0,1,0,1.20201,0,40.0,0.0,80.0,1,0,-0.9926189870196014,-2.847152847152848,0.3217794798521888,3.146651976986168,0.0,0.0,99,0,0,0.0,NEUTRAL,0.0,PRE_PUMP_30_PUMP_RUNNER,OPEN,1.167,0.0,0.0,0.0,1.121487,2026-07-26T20:54:10.448763+00:00,,,,,0,1.0,0.0,0.0,0.0,0,0,0.3,PRE_PUMP_30_PUMP_RUNNER
ZEUSUSDT_LONG_1785099250,2026-07-26T20:54:10.458323+00:00,ZEUSUSDT,LONG,0.002477,0.00309625,0.0023804,0.0023804,25.0,3.9,12.0,6.0,1,0,0.00255131,0,27.500000000000004,0.0,55.00000000000001,1,0,-0.9596161535385904,1.433251433251428,0.1717342053531855,2.6962339235250057,0.0,0.0,99,0,0,0.0,NEUTRAL,0.0,PRE_PUMP_30_PUMP_RUNNER,OPEN,0.002477,0.0,0.0,0.0,0.0023804,2026-07-26T20:54:10.458341+00:00,,,,,0,1.0,0.0,0.0,0.0,0,0,0.3,PRE_PUMP_30_PUMP_RUNNER
LPTUSDT_LONG_1785099250,2026-07-26T20:54:10.467747+00:00,LPTUSDT,LONG,1.5,1.875,1.4415,1.4415,25.0,3.9,12.0,6.0,1,0,1.545,0,42.5,0.0,85.0,1,0,1.0101010101010035,1.214574898785426,2.3229525241507183,4.866666666666666,0.0,0.0,99,0,1,0.0,NEUTRAL,0.0,PRE_PUMP_30_PUMP_RUNNER,OPEN,1.5,0.0,0.0,0.0,1.4415,2026-07-26T20:54:10.467766+00:00,,,,,0,1.0,0.0,0.0,0.0,0,0,0.3,PRE_PUMP_30_PUMP_RUNNER
BIRBUSDT_LONG_1785099250,2026-07-26T20:54:10.476975+00:00,BIRBUSDT,LONG,0.06064,0.0758,0.05827504,0.05827504,25.0,3.9,12.0,6.0,1,0,0.0624592,0,27.500000000000004,0.0,55.00000000000001,1,0,2.5883945186939545,2.070358525500761,0.2002420918597086,1.1885130041462522,0.0,0.0,99,0,0,0.0,NEUTRAL,0.0,PRE_PUMP_30_PUMP_RUNNER,OPEN,0.06064,0.0,0.0,0.0,0.05827504,2026-07-26T20:54:10.476994+00:00,,,,,0,1.0,0.0,0.0,0.0,0,0,0.3,PRE_PUMP_30_PUMP_RUNNER
BOMEUSDT_LONG_1785099627,2026-07-26T21:00:27.762075+00:00,BOMEUSDT,LONG,0.0005317,0.00066462,0.00051096,0.00051096,25.0,3.9,12.0,6.0,1,0,0.00054765,0,42.5,0.0,85.0,1,0,2.903038513644268,6.0853950518754845,1.3446355058544417,3.130121712028803,0.0,0.0,99,0,0,0.0,NEUTRAL,0.0,PRE_PUMP_30_PUMP_RUNNER,OPEN,0.0005317,0.0,0.0,0.0,0.00051096,2026-07-26T21:00:27.762102+00:00,,,,,0,1.0,0.0,0.0,0.0,0,0,0.3,PRE_PUMP_30_PUMP_RUNNER
ORDIUSDT_LONG_1785099627,2026-07-26T21:00:27.775059+00:00,ORDIUSDT,LONG,3.805,4.75625,3.656605,3.656605,25.0,3.9,12.0,6.0,1,0,3.91915,0,27.500000000000004,0.0,55.00000000000001,1,0,-0.157438992390443,0.6613756613756708,0.3268388217280721,1.6932607471372256,0.0,0.0,99,0,0,0.0,NEUTRAL,0.0,PRE_PUMP_30_PUMP_RUNNER,OPEN,3.805,0.0,0.0,0.0,3.656605,2026-07-26T21:00:27.775080+00:00,,,,,0,1.0,0.0,0.0,0.0,0,0,0.3,PRE_PUMP_30_PUMP_RUNNER
