symbol,label,score,peak,dd,rvol_1h,m6,rsi_1h,btc_corr_2d,btc_corr_4d,independent_mover,prefilter_score,rsi_value,rsi_divergence,macd_hist,macd_divergence,ema_alignment,rvol,volume_spike,vwap_distance_pct,price_above_vwap,atr_pct,atr_expanding,bb_squeeze,bb_breakout_above,momentum_1_pct,momentum_3_pct,momentum_6_pct,momentum_12_pct,momentum_acceleration,higher_highs,higher_lows,bos_up,in_range,candle_strength,big_wick_top,power_streak,mtf_alignment,btc_state,btc_momentum_12_pct
OPNUSDT,0,45.14,0.9,-5.08,0.79,1.84,58.1,0.0,0.0,False,45.0,58.062294645702025,0.0,0.00021421461437643068,0.0,0.0,0.788,0.0,2.0821144210118656,1.0,2.5237805551194823,0.0,1.0,0.0,0.6485084306095985,1.17340286831812,1.837270341207347,2.645502645502648,0.5172348893154948,1.0,0.0,0.0,0.0,0.3472222222222217,1.0,0.0,0.5,1.0,2.1746816645075655
OPNUSDT,0,51.0,1.08,-1.85,0.78,4.64,57.0,0.0,0.0,False,45.0,57.016089667072634,0.0,8.605561913510292e-05,0.0,0.0,0.779,0.0,1.9265411518627935,1.0,2.246061549461205,0.0,0.0,0.0,2.2666666666666764,3.2301480484522194,4.638472032742156,1.45502645502646,1.8658915682339372,0.0,0.0,0.0,0.0,0.7140350877192985,0.0,2.0,0.5,1.0,2.1746816645075655
OPNUSDT,0,55.0,0.46,-2.3,1.63,6.74,65.0,0.0,0.0,False,55.0,65.0061237618451,0.0,0.0003649972982586712,-1.0,0.0,1.628,0.0,4.901540958721434,1.0,2.515826092142648,0.0,0.0,1.0,3.2594524119947876,7.901907356948228,6.738544474393537,5.459387483355535,8.980074472851186,0.0,0.0,0.0,0.0,0.7746411483253588,1.0,0.0,0.5,1.0,2.1746816645075655
OPNUSDT,0,55.0,0.61,-2.15,1.63,6.74,65.0,0.0,0.0,False,45.0,65.0061237618451,0.0,0.0003649972982586712,-1.0,0.0,1.628,0.0,4.901540958721434,1.0,2.515826092142648,0.0,0.0,1.0,3.2594524119947876,7.901907356948228,6.738544474393537,5.459387483355535,8.980074472851186,0.0,0.0,0.0,0.0,0.7746411483253588,1.0,0.0,0.5,1.0,2.1746816645075655
OPNUSDT,1,13.0,4.98,-1.61,0.97,-1.09,39.8,0.0,0.0,False,55.0,39.84638865462101,1.0,-0.00012617054858099432,0.0,0.0,0.974,0.0,-2.6696536860293643,0.0,2.020313077166114,0.0,0.0,0.0,-0.2751031636863903,-1.226158038147155,-1.091405184174637,-2.29110512129381,-1.362583686168987,0.0,0.0,0.0,0.0,0.31818181818181934,0.0,0.0,0.5,1.0,2.1746816645075655
OPNUSDT,1,13.0,4.31,-1.12,0.97,-1.09,39.8,0.0,0.0,False,45.0,39.84638865462101,1.0,-0.00012617054858099432,0.0,0.0,0.974,0.0,-2.6696536860293643,0.0,2.020313077166114,0.0,0.0,0.0,-0.2751031636863903,-1.226158038147155,-1.091405184174637,-2.29110512129381,-1.362583686168987,0.0,0.0,0.0,0.0,0.31818181818181934,0.0,0.0,0.5,1.0,2.1746816645075655
OPNUSDT,0,48.0,0.47,-4.98,1.08,1.91,53.3,0.0,0.0,False,75.0,53.272182317598585,0.0,0.00018583478856341754,0.0,0.0,1.077,0.0,1.1624993558289645,1.0,2.008517427626729,0.0,1.0,0.0,-0.2673796791443927,3.3240997229916887,1.9125683060109269,1.4965986394557875,4.690219941570925,0.0,0.0,0.0,1.0,0.5797827903091068,1.0,0.0,0.5,1.0,2.1746816645075655
OPNUSDT,0,33.0,0.0,-4.98,1.04,1.79,49.7,0.0,0.0,False,75.0,49.716668057693994,0.0,0.0001887032671465496,0.0,0.0,1.037,0.0,0.4033475355074904,1.0,2.102181661498457,0.0,1.0,0.0,-0.8042895442359292,0.2710027100270892,1.7881705639614796,0.8174386920980782,-1.2420646902480192,0.0,0.0,0.0,1.0,0.39103192764520056,1.0,0.0,0.5,1.0,2.1746816645075655
OPNUSDT,0,33.0,1.94,-1.61,1.04,1.79,49.7,0.0,0.0,False,75.0,49.716668057693994,0.0,0.0001887032671465496,0.0,0.0,1.037,0.0,0.4033475355074904,1.0,2.102181661498457,0.0,1.0,0.0,-0.8042895442359292,0.2710027100270892,1.7881705639614796,0.8174386920980782,-1.2420646902480192,0.0,0.0,0.0,1.0,0.39103192764520056,1.0,0.0,0.5,1.0,2.1746816645075655
OPNUSDT,0,51.0,2.38,-1.43,0.95,3.15,57.8,0.0,0.0,False,75.0,57.80253145487828,0.0,0.00011776719481185633,0.0,0.0,0.954,0.0,2.627995920116248,1.0,2.3704891291294645,0.0,0.0,0.0,1.3440860215053776,5.160390516039044,3.146374829001363,0.5333333333333301,7.075575194561614,0.0,0.0,0.0,0.0,0.6613756613756605,0.0,0.0,0.5,1.0,2.1746816645075655
OPNUSDT,1,21.0,3.36,-0.32,1.37,6.27,53.6,0.0,0.0,False,75.0,53.64259140122701,0.0,0.00015797784427985868,0.0,0.0,1.367,0.0,1.3676050470600427,1.0,2.368396633830621,0.0,0.0,0.0,-1.0610079575596754,0.268817204301083,6.26780626780627,-0.6657789613848208,-5.714088778604893,0.0,0.0,0.0,0.0,0.4399470899470891,0.0,0.0,0.5,1.0,2.1746816645075655
